Variable1,Variable2,Clase
7.3861236544599365,5.252128018850328,0
4.902341728933924,7.619546933101153,0
4.4700431278249235,1.3102830631475009,1
5.690727180970186,5.671259364851787,0
8.81814595127377,19.276328844538074,1
4.6920679894540465,23.49098801559452,0
6.236607039832019,11.752716714298225,1
8.333410676882954,17.56055255650716,1
7.76965657955157,16.143378774555707,1
8.706572905472028,7.483769983243047,1
7.041864819394947,4.908204270440069,1
6.095741599333414,5.619024691037887,0
3.458960908315673,4.923766810699111,0
5.326207039140479,10.491615619987698,0
4.066787290387551,10.100513407779932,0
5.258155908561654,5.52995512073531,0
8.861905518767289,7.421208465776761,1
6.3398324441951575,11.66945273494637,1
4.954305270855624,17.884744842367233,0
8.989081987702491,18.76263700870368,1
4.3705264615707,23.137535142872785,0
5.2240843386489555,5.311615682215727,0
7.546840447737143,19.292163158048456,0
5.344212345019401,2.445133952130122,1
6.219716857484306,11.134173228963423,1
5.772902251872655,5.394378950744345,0
2.004683032395113,13.154552059529777,0
7.155875906213529,7.937031862859538,0
8.115224596373006,6.496061720181269,1
7.0558645237431366,13.727301529437847,1
6.0264556676472685,3.649948864437784,1
7.860718821252796,15.990670182769176,1
2.340017516430731,2.205276889568122,0
7.3703630904694055,14.800017384498972,1
5.719600513636918,8.740572853187773,0
3.812392658776391,5.9788730188699635,0
4.254907990903548,3.8072390006631536,0
1.7525674800677133,12.934450243233215,0
4.120659504180415,7.3416446300469635,0
3.54127938897189,9.81020366708714,0
2.9251384534698777,4.6075284331947115,0
7.180479717644095,13.655955743845443,1
8.400351752030666,17.220814951892624,1
1.1378717721940605,17.578269827478724,0
7.843770382417042,6.233666934095622,1
5.244078937504905,6.192063767948251,0
9.080095112296464,8.001648277192897,1
4.092992639741953,15.92018180235106,0
8.565941489369214,7.191516845782849,1
5.764901913388092,9.893065570325764,1
4.435321429427464,18.63024348188771,0
8.502299565312173,8.948572736636743,0
6.853976609155384,13.407537752880273,1
6.8579443366567,4.7484288150825,1
5.684771209149932,9.824818688606015,1
0.9948827083248997,17.485227491383018,0
3.3721793351306864,2.960615821087019,0
5.491532514214716,6.683780135345846,0
7.17991349697201,7.39078960670589,0
6.53607299941001,5.570934538559508,0
5.872578262037839,10.57244121152377,1
1.907980584803789,3.0784663602029414,0
7.0922224767260955,5.117183680470212,1
5.024701909119145,12.347906473808596,0
10.046308877376582,9.23164813284787,1
3.877243926839674,7.729215750490805,0
8.44930830964034,17.67181865121225,1
4.763038209352268,14.98286570429535,0
6.105413790024868,21.481976403017402,0
7.616208306440064,14.965982234637908,1
7.2528843799578375,5.078206327246454,1
8.439411764568963,6.657647134022994,1
6.432485668106831,19.690916787960067,0
5.017649641405648,3.8194746328589524,0
4.691363029316783,4.187748338436756,0
6.719373170659373,12.558004780438022,1
1.5838688973335453,5.919972809052916,0
2.2873232674776713,1.6447739380270596,0
2.36943855772024,4.810195451661403,0
7.356611996109086,5.3894626031126505,1
4.969812798677191,3.2676167663338576,0
8.933946888905957,7.68990530496382,1
5.981110359590684,3.412642615964743,1
4.830479560555595,11.883322594274823,0
